parola1,parola2,score
recessione,PIL,2.0
Cesare,Giulio Cesare,2.5
paziente,sessione,1.0
comportamentismo,terapia,1.0
imperatore,costituzione,1.5
matematico,spettacolo,0.0
entropia,informazione,2.5
acqua di rose,olio di rosa,2.5
agrume,pompelmo,3.0
Regina Vittoria,Inghilterra,2.5
Giochi Olimpici,spirito,1.0
vescovo,musulmano,2.0
uomo,sospetto,1.0
meteorite,Terra,2.0
simbolo,segno,3.5
antropologia,New York,0.0
tramonto,tavolo,0.0
cittadina,città,3.0
giacca,acqua minerale,0.0
natura,flora,2.5
subroutine,compilatore,2.0
Hamadan,Roma,2.5
ombrello,stufa,0.0
onore,stima,3.0
insegna,dignità,0.5
KFC,McDonald's,3.0
joystick,radar,2.0
basmati,riso jasmine,3.0
medaglia,scarpe da ginnastica,1.0
legge,piscina,0.0
sorgente,scatola,0.0
teatro,batteria,0.5
flora,web browser,0.0
camicia,cardigan,2.5
poema,ritmo,1.0
profeta,prete,2.5
Oscar,stadio,0.5
backgammon,Go,3.0
farfalla,rosa,1.5
recinto,salto,2.0
nichilismo,film,1.5
asteroide,stella,2.0
sommossa,disegno,0.0
intimo,corpo,3.0
Boeing,aereo,3.0
cameo,interpretazione,2.5
semestre,quadrimestre,3.0
arancia,agrume,3.0
ghiacciaio,riscaldamento globale,3.0
galleria,percorso,2.5
